#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
,,,,,,,,,,,,
,,,,,,,,,,,,
KIDS  BURRITO,,,,,,,,,,,,
"Burrito: 8"" Flour Tortilla",1,140,30,3,2,0,0,320,22,1,0,4
Rice – choice of:,,,,,,,,,,,,
Cilantro Lime,0.1,5,1,1,0,0,0,12,1,0,0,0
Spanish,0.2,7,2,0,0,0,0,20,1,0,0,0
Beans – choice of:,,,,,,,,,,,,
Black or,0.3,9,0,0,0,0,0,32,2,1,0,1
Pinto or,0.4,8,0,0,0,0,0,44,1,0,0,0
Refried (lard-free),0.8,35,6,1,0,0,0,110,6,2,0,2
Proteins – choice of:,,,,,,,,,,,,
White Chicken,0.3,12,2,0,0,0,6,61,0,0,0,2
Dark Chicken,0.3,18,8,1,0,0,8,70,0,0,0,2
Pork Carnitas,1.03,55,27,3,1,0,13,492,2,1,0,4
Grass Fed Steak,0.22,10,4,0,0,0,2,69,0,0,0,1
"Ground Beef * Only in OK, TX",0.8,46,23,3,1,0,12,139,1,0,0,3
Jack Cheese,0.5,52,36,4,3,0,16,88,1,0,0,4
Mixed Cheese,0.5,55,40,4,3,0,16,92,0,0,0,4
Queso Fresco,0.5,40,30,3,2,0,8,110,1,0,0,3
Chips,0.5,76,35,4,0,0,0,9,9,1,0,1
,,,,,,,,,,,,
,,,,,,,,,,,,
KIDS QUESADILLA,,,,,,,,,,,,
Tortilla,1 ea,90,20,2,1,0,0,220,15,1,0,3
Proteins – choice of:,,,,,,,,,,,,
White Chicken,1,46,9,1,0,0,23,226,0,0,0,8
Dark Chicken,1,57,26,3,1,0,26,218,0,0,0,7
Pork Carnitas,1,53,27,3,1,0,13,478,2,1,0,4
Grass Fed Steak,1,43,18,2,1,0,11,315,1,0,0,5
"Ground Beef * Only in OK, TX",1,60,30,4,1,0,15,180,1,0,0,4
Jack Cheese,0.85,85,60,7,4,0,26,145,1,0,0,6
Mixed Cheese,0.9,96,70,8,5,0,27,159,0,0,0,6
Queso Fresco,0.75,60,45,5,3,0,11,165,1,0,0,5
Rice – choice of:,,,,,,,,,,,,
Cilantro Lime,2.57,108,18,3,0,0,0,247,21,0,0,2
Spanish,2.45,93,20,2,0,0,0,272,17,0,0,2
Beans – choice of:,,,,,,,,,,,,
Black or,3.33,114,4,0,0,0,0,422,20,7,0,7
Pinto or,3.93,89,4,0,0,0,0,494,16,6,0,6
Refried (lard-free),5.45,243,38,1,0,0,0,759,39,13,0,13
Chips,0.5,76,35,4,0,0,0,9,9,1,0,1
,,,,,,,,,,,,
,,,,,,,,,,,,
HYBIRD BURRITO,,,,,,,,,,,,
"11"" Tortilla – choice of:",,,,,,,,,,,,
Wheat ,1 ea,230,50,5,3,0,0,610,41,5,0,7
Flour ,1 ea,250,50,6,3,0,0,610,42,2,0,7
