#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Kid's Flour Tortilla,1,140,30,3,2,0,0,320,22,1,0,4
Kid's Quesadilla Tortilla,1 ea,90,20,2,1,0,0,220,15,1,0,3
11" Wheat ,1 ea,230,50,5,3,0,0,610,41,5,0,7
11" Flour ,1 ea,250,50,6,3,0,0,610,42,2,0,7
11" Spinach ,1 ea,250,50,6,3,0,0,600,42,2,0,7
11" Cayenne,1 ea,250,50,6,3,0,0,720,42,2,0,7
13" Wheat ,1 ea,300,60,7,3,0,0,790,52,6,0,9
13" Flour ,1 ea,330,70,7,4,0,0,780,54,2,0,9
13" Spinach ,1 ea,320,70,7,4,0,0,770,54,2,0,9
13" Cayenne,1 ea,320,70,7,4,0,0,920,53,3,0,9
Reg Chips,3,454,25,2.8,0,0,57,52,3,0,5,454
Soft Flour ,1 ea,90,20,2,1,0,0,220,15,1,0,3
Soft Corn ,1 ea,140,15,2,0,0,0,5,29,2,0,3
Crispy Corn,1 ea,320,140,16,2,0,0,33,42,5,1,4
None (Burrito Bowl),1,0,0,0,0,0,0,0,0,0,0,0
Cilantro Lime or,2.57,108,18,3,0,0,0,247,21,0,0,2
