#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Mixed Greens,1,5,0,0,0,0,0,10,1,1,1,0
Lettuce,1,4,0,0,0,0,0,3,1,0,1,0
White Chicken ,3,136,26,3,1,0,69,677,1,0,0,25
Dark Chicken ,3.1,177,82,9,3,0,79,677,1,0,0,22
Pork Carnitas ,4.73,232,114,14,5,0,57,2095,9,3,0,20
Grass Fed Steak ,2.67,109,45,5,3,0,30,804,4,0,1,11
"Ground Beef * Only in OK, TX",4.3,258,129,17,4,0,65,774,4,0,0,17
Veggie (roasted veggies),1.8,26,12,1,0,0,0,282,3,1,2,1
Jack Cheese,0.5,50,35,4,3,0,16,88,1,0,0,4
Mixed Cheese,0.52,55,40,4,3,0,16,92,0,0,0,4
Queso Fresco,0.5,40,30,3,2,0,8,110,1,0,0,3
Tomatillo ,1.7,35,25,3,0,0,0,150,2,1,1,0
Ancho,1.6,255,248,28,2,0,0,218,3,0,0,0
Ranch,1.6,208,192,22,3,0,16,416,3,0,2,0
Vinaigrette,1.4,32,0,0,0,0,0,175,7,0,7,0
