#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
11" Wheat ,1 ea,230,50,5,3,0,0,610,41,5,0,7
11" Flour ,1 ea,250,50,6,3,0,0,610,42,2,0,7
11" Spinach ,1 ea,250,50,6,3,0,0,600,42,2,0,7
11" Cayenne,1 ea,250,50,6,3,0,0,720,42,2,0,7
Cilantro Lime ,1.3,53,9,1,0,0,0,122,10,0,0,1
Spanish,1.3,48,10,1,0,0,0,141,9,0,0,1
Black ,1.8,62,2,0,0,0,0,232,11,4,0,4
Pinto ,2.2,49,2,0,0,0,0,273,9,3,0,3
Refried (lard-free),3.4,152,24,3,0,0,0,476,25,8,0,8
White Chicken ,1.4,62,12,1,0,0,31,309,0,0,0,11
Dark Chicken ,1.9,110,51,6,2,0,49,421,0,0,0,14
Pork Carnitas ,2.9,142,70,9,3,0,35,1285,6,2,0,12
Grass Fed Steak ,1.5,62,26,3,2,0,17,452,2,0,0,6
"Ground Beef * Only in OK, TX",2.4,142,71,9,2,0,36,427,2,0,0,9
Roasted Veggies,0.8,11,5,1,0,0,0,118,1,0,1,0
Jack Cheese,0.5,50,35,4,3,0,16,88,1,0,0,4
Mixed Cheese,0.5,55,40,4,3,0,16,92,0,0,0,4
Queso Fresco,0.5,40,30,3,2,0,8,110,1,0,0,3
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
