#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Kid's Quesadilla Tortilla,1 ea,90,20,2,1,0,0,220,15,1,0,3
White Chicken,1,46,9,1,0,0,23,226,0,0,0,8
Dark Chicken,1,57,26,3,1,0,26,218,0,0,0,7
Pork Carnitas,1,53,27,3,1,0,13,478,2,1,0,4
Grass Fed Steak,1,43,18,2,1,0,11,315,1,0,0,5
"Ground Beef * Only in OK, TX",1,60,30,4,1,0,15,180,1,0,0,4
Jack Cheese,0.85,85,60,7,4,0,26,145,1,0,0,6
Mixed Cheese,0.9,96,70,8,5,0,27,159,0,0,0,6
Queso Fresco,0.75,60,45,5,3,0,11,165,1,0,0,5
Cilantro Lime,2.57,108,18,3,0,0,0,247,21,0,0,2
Spanish,2.45,93,20,2,0,0,0,272,17,0,0,2
Black or,3.33,114,4,0,0,0,0,422,20,7,0,7
Pinto or,3.93,89,4,0,0,0,0,494,16,6,0,6
Refried (lard-free),5.45,243,38,1,0,0,0,759,39,13,0,13
Chips,0.5,76,35,4,0,0,0,9,9,1,0,1
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
