#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Wheat ,1 ea,300,60,7,3,0,0,790,52,6,0,9
Flour ,1 ea,330,70,7,4,0,0,780,54,2,0,9
Spinach ,1 ea,320,70,7,4,0,0,770,54,2,0,9
Cayenne,1 ea,320,70,7,4,0,0,920,53,3,0,9
Cilantro Lime ,3.4,143,24,3,0,0,0,326,27,0,0,2
Spanish,3.2,122,26,3,0,0,0,355,22,0,0,2
Black ,4.3,147,5,1,0,0,0,548,27,10,0,10
Pinto ,5.4,121,5,1,0,0,0,675,22,8,0,8
Refried (lard-free),7.1,317,50,6,1,0,0,989,51,17,1,17
White Chicken ,3.6,161,31,3,1,0,81,813,1,0,0,30
Dark Chicken ,3.7,212,98,11,3,0,95,808,1,0,0,26
Pork Carnitas ,5.53,271,133,17,6,0,66,2450,11,4,0,23
Grass Fed Steak ,3.36,138,57,7,3,0,38,1011,5,0,1,13
"Ground Beef * Only in OK, TX",5.2,312,156,21,5,0,78,936,5,0,0,21
Veggie (roasted veggies),0.8,11,5,1,0,0,0,118,1,0,1,0
Jack Cheese,1.4,140,98,11,7,0,42,238,1,0,0,10
Mixed Cheese,1.4,149,108,12,7,0,43,248,1,0,0,10
Queso Fresco,1.4,112,84,8,6,0,21,308,1,0,0,8
