#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Chips,3,454,25,2.8,0,0,57,52,3,0,5,454
Black Beans ,1.83,62,2,0,0,0,0,232,11,4,0,4
Pinto Beans,2.17,49,2,0,0,0,0,273,9,3,0,3
Refried Beans,3.42,152,24,3,0,0,0,476,25,8,0,8
White Chicken ,1.37,62,12,1,0,0,31,309,0,0,0,11
Dark Chicken ,1.93,110,51,6,2,0,49,421,0,0,0,14
Pork Carnitas ,2.9,142,70,9,3,0,35,1285,6,2,0,12
Grass Fed Steak ,1.5,62,26,3,2,0,17,452,2,0,0,6
"Ground Beef * Only in OK, TX",2.37,142,71,9,2,0,36,427,2,0,0,9
Veggie (roasted veggies),1.8,26,12,1,0,0,0,282,3,1,2,1
Queso,1.75,134,102,11,7,0,28,601,3,0,2,6
Lettuce,1,4,0,0,0,0,0,3,1,0,1,0
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
