#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Wheat ,1 ea,230,50,5,3,0,0,610,41,5,0,7
Flour ,1 ea,250,50,6,3,0,0,610,42,2,0,7
Spinach ,1 ea,250,50,6,3,0,0,600,42,2,0,7
Cayenne,1 ea,250,50,6,3,0,0,720,42,2,0,7
Cilantro Lime or,2.57,108,18,3,0,0,0,247,21,0,0,2
Spanish,2.44,93,20,2,0,0,0,271,17,0,0,2
Black,3.32,113,4,0,0,0,0,421,20,7,0,7
Pinto ,3.9,88,4,0,0,0,0,490,16,5,0,6
Refried (lard-free),5.42,242,38,4,0,0,0,755,39,13,0,13
White Chicken ,2.98,135,26,3,1,0,68,673,1,0,0,25
Dark Chicken ,3.11,178,82,9,3,0,80,679,1,0,0,22
Pork Carnitas ,4.73,232,114,14,5,0,57,2095,9,3,0,20
Grass Fed Steak,2.67,109,45,5,3,0,30,804,4,0,1,11
"Ground Beef * Only in OK, TX",4.28,257,128,17,4,0,64,770,4,0,0,17
Veggie (roasted veggies),0.75,11,5,1,0,0,0,118,1,0,1,0
Jack Cheese,0.85,85,60,7,4,0,26,145,1,0,0,6
Mixed Cheese,0.9,96,70,8,5,0,27,159,0,0,0,6
Queso Fresco,0.75,60,45,5,3,0,11,165,1,0,0,5
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
