#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Wheat,1 ea,600,120,14,6,0,0,1580,104,12,0,18
Flour,1 ea,660,140,14,7,0,0,1560,108,4,0,18
Spinach,1 ea,640,140,14,7,0,0,1540,108,4,0,18
Cayenne,1 ea,640,140,14,7,0,0,1840,106,6,0,18
Cilantro Lime ,4.4,175,22,4,0,0,0,416,35,0,0,4
Spanish,4.5,180,45,5,0,0,0,495,32,0,0,5
Black ,6.2,212,8,1,0,0,0,789,38,14,0,14
Pinto ,7.2,162,7,1,0,0,0,903,30,10,0,10
Refried (lard-free),9.4,420,66,8,1,0,0,1312,68,23,1,23
White Chicken ,5.3,241,46,5,1,0,122,1201,1,0,0,45
Dark Chicken ,5.6,319,148,16,5,0,143,1218,1,0,0,39
Pork Carnitas ,8.35,443,220,24,9,0,105,3992,17,6,1,35
Grass Fed Steak ,4.68,203,84,9,4,0,53,1476,7,0,2,21
"Ground Beef * Only in OK, TX",8.2,493,247,33,8,0,123,1480,8,0,0,33
Veggie (roasted veggies),1.5,22,10,1,0,0,0,235,3,1,1,0
Jack Cheese,2,195,137,16,10,0,59,332,2,0,0,14
Mixed Cheese,1.9,202,147,16,10,0,58,337,1,0,0,13
Queso Fresco,1.8,144,108,11,7,0,27,396,2,0,0,11
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
