#,Amount in oz (unless noted),Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Soft Flour ,1 ea,90,20,2,1,0,0,220,15,1,0,3
Soft Corn ,1 ea,140,15,2,0,0,0,5,29,2,0,3
Crispy Corn,1 ea,320,140,16,2,0,0,33,42,5,1,4
Black ,0.25,9,0,0,0,0,0,32,2,1,0,1
Pinto ,0.35,8,0,0,0,0,0,44,1,0,0,0
Refried (lard-free),0.97,43,7,1,0,0,0,135,7,2,0,2
White Chicken ,0.27,12,2,0,0,0,6,61,0,0,0,2
Dark Chicken ,0.37,21,10,1,0,0,9,81,0,0,0,3
Pork Carnitas ,1.03,50,25,3,1,0,12,456,2,1,0,4
Grass Fed Steak ,0.22,9,4,0,0,0,2,66,0,0,0,1
"Ground Beef * Only in OK, TX",1,60,30,4,1,0,15,180,1,0,0,4
Veggie (roasted veggies),1.8,26,12,1,0,0,0,282,3,1,2,1
Jack Cheese,0.5,50,35,4,3,0,16,88,1,0,0,4
Mixed Cheese,0.52,55,40,4,3,0,16,92,0,0,0,4
Queso Fresco,0.5,40,30,3,2,0,8,110,1,0,0,3
Sour Cream,2,113,85,9,7,0,38,28,2,0,2,2
Bacon,1,153,107,12,4,0,31,655,0,0,0,11
Guacamole,2,73,57,6,1,0,0,170,5,3,1,1
Queso,1,77,58,7,4,0,16,344,1,0,1,3
Avocado,2.3,102,19,2,0,0,0,1,1,1,0,0
